,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
331,Kepler-17 b,Kepler-17,Kepler-17,1.0,14.314,0.005951576470212227,0.005253894196167952,0.002943215121036679,2.9,1.5,1.6,0.0021437968332772527,0.0032751187339066,0.0011760261745448,0.02,,,1.0,1.07,0.05,0.16,5781.0,85.0,85.0,1.01034,0.03,0.03,0.26,0.1,0.1,2.47,0.12,0.11,2.47,0.12,0.11,1.3096028,0.02,0.02,1.4857108,2e-07,2e-07,0.02591,0.00037,0.00036,5.7,0.14,0.41,1.098709972149704,0.08,0.08,0.0,15.0,15.0,0.002204052326011577,0.00014857183578051417,0.00034388404870014307
332,Kepler-74 b,Kepler-74,Kepler-74,1.0,14.487,7.569456878200286,6.440503775476285,3.67415013482504,0.8,0.9,0.5,8.190681508868863,16.55186376399844,4.7458790708481455,0.32,,,1.0,1.18,0.04,0.04,6000.0,100.0,100.0,1.12,0.04,0.04,0.42,0.11,0.11,0.604,0.088,0.094,0.604,0.088,0.094,0.9598996,0.02,0.02,7.340711,6e-06,6e-06,0.0781,0.0007,0.0007,15.47,0.18,0.18,0.682689525462963,0.18,0.18,,,,0.0004887239886278604,7.310669595397106e-05,7.784304501972188e-05
333,PH2 b,PH2,PH2,1.0,12.645,44475885.164779425,42072508.68139228,22793932.420161996,4.1,4.3,2.8,9301441.065740615,21225393.899446588,5842385.159652332,0.215,0.095,0.082,0.0,0.966,0.05,0.056,5734.0,84.0,82.0,0.949,0.028,0.027,0.017,0.051,0.044,0.274,0.066,0.067,0.274,0.066,0.067,0.8329609888732,0.026,0.024,282.52542,0.00011,0.00011,0.833,0.014,0.016,188.9,6.2,6.8,0.4740406212363241,0.16,0.15,,,,0.00027082089041167897,6.672330176711906e-05,6.805820140380867e-05
334,SWEEPS-4 b,SWEEPS-4,SWEEPS-4,1.0,18.8,0.16509302936256415,6.784818148392675,0.16500077728269819,13.8,,,,,,,,,,1.24,,,,,,1.18,,,,,,3.8,,,3.8,,,0.80993759,0.1,0.1,4.2,,,0.055,,,,,,7.150370408003898,,,,,,0.00292597517224862,,
335,WASP-85 A b,WASP-85 A,WASP-85,1.0,10.72,0.05491202695589746,0.04865356201505387,0.027200076339278668,0.5,0.3,0.1,0.11509212361822188,0.1964435080279548,0.0631470590552276,0.0,,,0.0,1.09,0.08,0.08,5685.0,65.0,65.0,0.935,0.023,0.023,,,,1.265,0.065,0.065,1.265,0.065,0.065,1.2399440636,0.03,0.03,2.6556777,4.4e-07,4.4e-07,0.039,0.001,0.001,8.97,0.32,0.32,0.6634763854855493,0.03,0.03,0.0,14.0,14.0,0.0011080841755647475,9.927720407575641e-05,9.927720407575641e-05
336,Kepler-412 b,Kepler-412,Kepler-412,1.0,14.399,0.003559127577790213,0.003486659069204045,0.0018422679606126626,5.1,1.7,1.7,0.000713636810854393,0.0008843985887259,0.0003740731358131,0.076,,,1.0,1.167,0.091,0.091,5750.0,90.0,90.0,1.287,0.035,0.035,0.27,0.12,0.12,0.927,0.076,0.071,0.927,0.076,0.071,1.34093950749,0.044,0.046,1.7208604,3e-07,3e-07,0.02897,0.00093,0.00092,4.841,0.024,0.023,0.3844088703518721,0.13,0.04,,,,0.0007584336672972407,8.581383969621574e-05,8.289763191920388e-05
337,Kepler-433 b,Kepler-433,Kepler-433,1.0,14.717,1.3137864336932088,1.9570782351600657,0.7820385699131274,2.67,0.91,0.91,0.5210710171519501,0.90986184781901,0.3022656657683912,0.15,,,1.0,1.46,0.17,0.17,6360.0,140.0,140.0,2.26,0.25,0.25,-0.01,0.2,0.2,2.81,0.45,0.41,2.81,0.45,0.41,1.4496625,0.16,0.16,5.33408384,1.1e-06,1.1e-06,0.0679,0.0027,0.0027,6.44,0.62,0.62,0.921727008077412,0.32,0.32,,,,0.0018376474207251426,0.0003638516957135439,0.0003430395144358606
338,CoRoT-28 b,CoRoT-28,CoRoT-28,1.0,13.783,1.4631489786527037,2.1962615821013562,0.9171342785026296,12.0,1.5,1.5,0.1227419594853505,0.1865161166917201,0.078023701879935,0.071,,,1.0,1.01,0.14,0.14,5150.0,100.0,100.0,1.78,0.11,0.11,0.15,0.1,0.1,0.481,0.056,0.056,0.481,0.056,0.056,0.95495691995,0.066,0.066,5.20851,0.00038,0.00038,0.0603,0.005,0.005,7.29,0.16,0.16,0.5522490298686644,0.27,0.27,,,,0.00045470782484001215,8.231138258611293e-05,8.231138258611293e-05
339,HATS-63 b,HATS-63,HATS-63,1.0,13.992,0.07274191000131663,0.06662803326047953,0.03453486101777172,10.3,1.1,1.1,0.007116402885119593,0.0065834946208745,0.0035567411483993,0.136,,,1.0,0.931,0.019,0.019,5627.0,18.0,18.0,1.07,0.012,0.012,0.081,0.038,0.038,0.96,0.12,0.12,0.96,0.12,0.12,1.20694555223,0.039,0.039,3.0566527,4.9e-06,4.9e-06,0.04026,0.00028,0.00028,8.09,0.12,0.12,0.5459456660780895,0.11,0.11,,,,0.0009845329993342633,0.00012469604297716622,0.00012469604297716622
340,WASP-136 b,WASP-136,WASP-136,1.0,9.974,0.7884858755248141,1.1028750859878294,0.45064717886133177,3.62,0.7,0.7,0.22578486761691077,0.3362372538012596,0.1323256488091362,0.0,,,0.0,1.41,0.07,0.07,6250.0,100.0,100.0,2.21,0.22,0.22,-0.18,0.1,0.1,1.51,0.08,0.08,1.51,0.08,0.08,1.3799377482,0.16,0.16,5.215357,6e-06,6e-06,0.0661,0.0012,0.0012,7.4,0.2,0.2,0.5745656892200823,0.306,0.197,38.0,16.0,18.0,0.0010225076357816938,7.423968208947414e-05,7.423968208947414e-05
341,TOI-5634 A b,TOI-5634 A,TOI-5634,1.0,16.854,0.03670404641694425,0.06011367249612805,0.0268091250472777,7.4,4.5,4.7,0.005101108239183487,0.0117115133456778,0.0041168967817177,0.0,,,0.0,0.556,0.022,0.022,3896.0,88.0,88.0,0.54,0.017,0.016,-0.27,0.12,0.12,1.85005489,,,1.85005489,,,0.9295682,0.056,0.05,2.2035373,8.4e-06,8.4e-06,0.0272,0.0003,0.0003,10.85,0.41,0.44,2.352770199860512,,,,,,0.0031770097489313078,,
342,TOI-5786 b,TOI-5786,TOI-5786,1.0,10.186,100.19771585598974,104.51174794524371,55.00908999230689,2.5,0.5,0.7,40.80587235647706,50.198383931545706,22.851702539041263,0.0,,,0.0,1.23,0.04,0.03,6235.0,50.0,50.0,1.36,0.03,0.05,0.08,0.1,0.08,0.22968369,0.02831717,0.02831717,0.22968369,0.02831717,0.02831717,0.7618533999999999,0.01159784,0.01159784,12.779107,1.5e-05,1.5e-05,0.114,0.007,0.007,18.0,0.8,0.8,0.51934375040149,0.08,0.08,,,,0.0001782927856801361,2.2733151264484605e-05,2.2407322633190764e-05
343,BD-14 3065 b,BD-14 3065 A,BD-14 3065,1.0,11.1,1.1634972155222134,1.1599892781707863,0.5974103261371606,2.24,0.26,0.26,0.526244654727218,0.5454604795391425,0.2768300666632481,0.066,0.0098,0.011,0.0,1.41,0.05,0.05,6935.0,90.0,90.0,2.35,0.08,0.08,-0.34,0.05,0.05,12.37,0.92,0.87,12.37,0.92,0.87,1.9260439,0.094,0.094,4.2889731,5.2e-06,5.2e-06,0.0656,0.0026,0.0026,6.01,0.12,0.13,1.7314137066426336,0.53,0.48,,,,0.008376436724913611,0.0006901745291842098,0.0006597737202109341
344,NGTS-8 b,NGTS-8,NGTS-8,1.0,13.69,0.05188093045831889,0.04466423402957714,0.02572797129424788,12.48,3.23,3.68,0.00428552659547328,0.0045156394068521,0.0022381270383987,0.01,0.014,0.01,0.0,0.89,0.05,0.04,5241.0,50.0,50.0,0.98,0.02,0.02,0.24,0.09,0.09,0.93,0.04,0.03,0.93,0.04,0.03,1.0899508301,0.03,0.03,2.4997,1e-05,1e-05,0.035,0.001,0.001,7.6,0.18,0.18,0.7181306364567897,0.08,0.07,,,,0.000997703893742492,7.0591283822657e-05,5.5195029081846966e-05
345,TrES-5 b,TrES-5,TrES-5,1.0,13.677,0.006230678651168959,0.0053944260643197725,0.003089994626706127,7.4,1.9,1.9,0.0008686197815086913,0.0009049466957957,0.000445613184308,0.03,,,1.0,0.901,0.03,0.03,5171.0,36.0,36.0,0.868,0.013,0.013,0.2,0.1,0.1,1.79,0.071,0.07,1.79,0.071,0.07,1.19394613866,0.015,0.015,1.48224686,6.14e-06,6.14e-06,0.02459,0.0007,0.0007,6.1,0.1,0.1,1.051574510647863,0.052,0.052,,,,0.0018968673673471102,9.82339755982021e-05,9.742471604280492e-05
346,WASP-12 b,WASP-12,WASP-12,1.0,11.569,0.0001445962146427552,0.00014750354519186821,7.763691485346752e-05,2.0,0.7,2.0,6.276974524687995e-05,0.0001481301512451,4.004396705774501e-05,0.02,,,1.0,1.43,0.11,0.09,6313.0,52.0,52.0,1.69,0.019,0.018,0.12,0.07,0.07,1.39,0.12,0.12,1.39,0.12,0.12,1.9649079760068,0.088,0.087,1.091418901,1.8e-08,1.8e-08,0.0234,0.001,0.001,3.04,0.11,0.1,0.1832007031084826,,,59.0,15.0,20.0,0.0009280844326256387,0.00010731397451731871,9.915358150245096e-05
347,Lupus-TR-3 b,Lupus-TR-3,Lupus-TR-3,1.0,19.6202,0.7519826873291924,0.9451173421687205,0.400479973734454,13.8,,,,,,0.0,,,0.0,0.87,0.04,0.04,5000.0,150.0,150.0,0.82,0.05,0.05,,,,0.81,0.18,0.18,0.81,0.18,0.18,0.8899589600000001,0.07,0.07,3.91405,4e-05,4e-05,0.0464,0.0007,0.0007,,,,1.1489866930318922,0.4,0.4,,,,0.0008889441811876932,0.00020172688228783264,0.00020172688228783264
348,TOI-2524 b,TOI-2524,TOI-2524,1.0,12.8,5.224038707168512,4.587266535716765,2.5253047820694245,7.3,3.4,3.5,0.7443549392103141,1.069219738671008,0.4216257372303613,0.06,0.03,0.03,0.0,1.022,0.066,0.059,5866.5,102.6,102.6,1.119,0.024,0.023,0.06,0.05,0.05,0.64,0.04,0.04,0.64,0.04,0.04,0.999953168247,0.02,0.03,7.18585,1e-05,1e-05,0.073,0.0007,0.0007,13.99,0.35,0.35,0.64,0.08,0.08,10.0,19.0,8.0,0.0005979127347555115,5.373479487411213e-05,5.0871784868446725e-05
349,TOI-4377 b,TOI-4377,TOI-4377,1.0,11.707,0.25765763534207897,0.2445335324740152,0.13138048578341577,3.88,0.82,0.54,0.06741151342339029,0.0702737140080631,0.0358735460379933,0.045,0.053,0.032,0.0,1.36,0.08,0.07,4974.0,57.0,57.0,3.52,0.15,0.14,0.205,0.038,0.038,0.957,0.089,0.087,0.957,0.089,0.087,1.3479368704758,0.081,0.081,4.378081,1.9e-05,1.9e-05,0.0579,0.001,0.0011,,,,0.3906989653971324,0.098,0.095,,,,0.0006718645931509272,7.393262597569836e-05,7.018874017879227e-05
350,WASP-84 b,WASP-84,WASP-84,2.0,10.825,14.329720567452174,13.322762371568338,7.320717115791308,2.1,1.6,1.6,6.765153138218933,13.651282649634384,4.123510259785276,0.077,,,1.0,0.85,0.06,0.06,5280.0,80.0,80.0,0.768,0.019,0.019,,,,0.694,0.049,0.047,0.694,0.049,0.047,0.9563312,0.024,0.024,8.52349648,6e-07,6e-07,0.0778,0.0021,0.0021,21.7,0.72,0.72,0.79430225157357,0.13,0.12,0.3,1.7,1.7,0.0007795595028576694,7.783030658280853e-05,7.62580954163304e-05
351,WASP-129 b,WASP-129,WASP-129,1.0,12.179,4.561229460982382,3.966772580007815,2.220994612451668,1.0,0.9,0.9,4.198665554583872,8.290199112934648,2.6183070152006485,0.096,,,1.0,1.0,0.03,0.03,5900.0,100.0,100.0,0.9,0.02,0.02,0.15,0.09,0.09,1.0,0.1,0.1,1.0,0.1,0.1,0.9299580477,0.03,0.03,5.748145,4e-06,4e-06,0.0628,0.0007,0.0007,15.152,0.401,0.38,1.2432290637117596,0.3,0.3,,,,0.0009547918983127075,9.96832007060922e-05,9.96832007060922e-05
352,TOI-1898 b,TOI-1898,TOI-1898,1.0,7.87,28997.685549817936,25346.994922577753,14435.710697593893,3.1,0.6,0.3,9440.30192565692,8841.273939094513,4774.011749393313,0.485,0.039,0.039,0.0,1.2484,0.0261,0.0375,6241.0,88.0,85.0,1.6131,0.0292,0.0312,-0.095,0.059,0.071,0.40587939,0.02202446,0.02517081,0.40587939,0.02202446,0.02517081,0.8381754373751,0.02090212,0.02757956,45.52234,6.1e-05,6.1e-05,0.269,0.005,0.005,,,,0.6891776674094723,0.15,0.2,,,,0.0003104216222878114,1.8051561609053425e-05,2.1390346636774436e-05
353,WASP-50 b,WASP-50,WASP-50,1.0,11.44,0.01826365753274454,0.01889712618176282,0.00948554630876971,7.0,3.5,3.5,0.0028210266933258385,0.0040442956035188,0.0015593914146604,0.022,,,1.0,0.89,0.08,0.07,5400.0,100.0,100.0,0.843,0.031,0.031,,,,1.46,0.087,0.087,1.46,0.087,0.087,1.16594740174,0.043,0.043,1.9551,5e-06,5e-06,0.0293,0.0013,0.0013,7.47,0.08,0.09,0.9209948559182276,0.214,0.214,2.9,1.2,1.2,0.001566287833187138,0.00016891702083687583,0.0001545549266236755
354,Kepler-77 b,Kepler-77,Kepler-77,1.0,14.152,0.25281553564206594,0.21117241513749607,0.12093828472941331,7.5,2.0,2.0,0.03427480949876276,0.0339508037302872,0.0174434515931979,0.079,,,1.0,0.95,0.04,0.04,5520.0,60.0,60.0,0.99,0.02,0.02,0.2,0.05,0.05,0.522,0.042,0.04,0.522,0.042,0.04,0.95998881,0.016,0.016,3.57878087,2.3e-07,2.3e-07,0.04501,0.00063,0.00063,9.764,0.055,0.055,0.5900065104166667,0.055,0.055,,,,0.0005246330220202456,4.764242068335238e-05,4.587092336085082e-05
355,HAT-P-7 b,HAT-P-7,HAT-P-7,1.0,10.481,0.01481239669359382,0.03956182794681445,0.010866697898109307,2.08,0.28,0.23,0.007165325999000213,0.0189501105523971,0.0054166637117471,0.004,,,1.0,1.59,0.03,0.03,6310.0,15.0,15.0,2.0,0.28,0.28,0.26,,,1.806,0.036,0.036,1.806,0.036,0.036,1.5099318839,0.21,0.21,2.20474,1.7e-05,1.7e-05,0.0384294236759999,0.0052866613506687,0.0052866613506687,4.05,0.04,0.04,0.5245500153792488,,,142.0,12.0,16.0,0.001084499476951415,2.9766402839121594e-05,2.9766402839121594e-05
356,TOI-1775 b,TOI-1775,TOI-1775,1.0,11.648,27.005394556467216,24.579724327602406,13.3112986478829,0.8,1.1,0.5,26.430473550023905,62.537287299685865,16.06392223802573,0.0,,,0.0,0.9218,0.0143,0.0154,5284.0,50.0,51.0,0.8288,0.0115,0.0099,0.162,0.033,0.047,0.30204978,0.04719528,0.04719528,0.30204978,0.04719528,0.04719528,0.7178986481216,0.01279147,0.01139459,10.2405549,9.6e-06,9.6e-06,0.08,0.002,0.002,,,,0.8162592197727826,0.22,0.27,,,,0.00031286036323620705,4.912477746489596e-05,4.9163066727959384e-05
357,TOI-6029 b,TOI-6029,TOI-6029,1.0,12.858,3.227267587557698,3.8871476548417467,1.8686593288264308,2.31,0.58,0.19,1.414684640911161,1.9110772329083507,0.8000562768847109,0.091,0.017,0.015,0.0,1.548,0.027,0.085,6223.0,100.0,100.0,2.338,0.027,0.085,0.37,0.06,0.06,1.635,0.032,0.032,1.635,0.032,0.032,1.2839398681362,0.098,0.098,5.7987,0.0004,0.0004,0.077991538331196,0.0043348443619419,0.0044037489760414,7.17,0.39,0.31,0.7723651786554069,,,,,,0.0010084526832953983,2.643755241249944e-05,5.878611222668946e-05
358,NGTS-27 b,NGTS-27,NGTS-27,1.0,13.523,0.03407991622274899,0.04343234316317876,0.020077117569992677,7.9,0.8,0.8,0.004307239505420347,0.0055196390688233,0.0023767439707954,0.0,,,0.0,1.07,0.06,0.06,5700.0,80.0,80.0,1.77,0.03,0.03,0.0,0.08,0.08,0.593,0.095,0.072,0.593,0.095,0.072,1.3959346231226,0.038,0.035,3.3704181,5.9e-06,5.7e-06,0.0446,0.0026,0.0036,5.43,0.31,0.43,0.2179708604026922,0.059,0.059,,,,0.0005291510240181639,8.981421081970699e-05,7.076858800259747e-05
359,WASP-135 b,WASP-135,WASP-135,1.0,13.181,0.0036326564317817438,0.0038135350898855667,0.0019869198647238526,0.6,1.4,0.35,0.0031476775091946983,0.0094473703380663,0.0021868232886267,0.038,0.011,0.011,0.0,0.98,0.06,0.06,5675.0,60.0,60.0,0.96,0.05,0.05,0.02,0.13,0.13,1.9,0.08,0.08,1.9,0.08,0.08,1.299941357,0.09,0.09,1.4013794,8e-07,8e-07,0.0243,0.0005,0.0005,,,,0.864815657715066,0.23,0.23,,,,0.001851127149789943,0.00013754872920568336,0.00013754872920568336
360,HATS-33 b,HATS-33,HATS-33,1.0,11.91,0.04205853209425489,0.04868778716555852,0.02324015172571371,3.0,1.7,1.7,0.015314068010400684,0.0260026567495555,0.0089219888917626,0.08,,,1.0,1.062,0.032,0.032,5659.0,85.0,85.0,1.022,0.05,0.037,0.29,0.05,0.05,1.192,0.053,0.053,1.192,0.053,0.053,1.2299445147,0.112,0.081,2.5495551,6.1e-06,6.1e-06,0.03727,0.00037,0.00037,7.83,0.32,0.32,0.6405616306807526,0.19,0.19,,,,0.0010716684960346019,5.756060197193118e-05,5.756060197193118e-05
361,HAT-P-30 b,HAT-P-30,HAT-P-30,1.0,10.352,0.03418422949857193,0.06117036181187284,0.023056105125854362,1.0,0.8,0.5,0.03496299863396854,0.0987224235935488,0.0249163347555061,0.016,,,1.0,1.24,0.04,0.04,6338.0,42.0,42.0,1.31,0.13,0.13,0.13,,,0.746,0.02,0.021,0.746,0.02,0.021,1.4399350416,0.15,0.15,2.8106,5e-06,5e-06,0.04528391155758,0.0048910675876946,0.0048910675876946,7.42,0.32,0.32,0.2498338906035665,,,73.5,9.0,9.0,0.000574415125920387,2.4093548800785823e-05,2.4592835974830316e-05
362,HATS-17 b,HATS-17,HATS-17,1.0,12.402,1466.498245049525,1511.4201942633986,758.8089634246155,2.1,1.3,1.3,723.77740912526,1299.232990222381,431.8715655180224,0.029,0.022,0.022,0.0,1.131,0.03,0.03,5846.0,78.0,78.0,1.091,0.07,0.046,0.3,0.03,0.03,1.338,0.065,0.065,1.338,0.065,0.065,0.7769649495300001,0.056,0.056,16.254611,7.3e-05,7.3e-05,0.1308,0.0012,0.0012,25.8,1.1,1.5,2.852285913063182,0.85,0.51,,,,0.0011295416091444764,6.251989515892901e-05,6.251989515892901e-05
363,TOI-216.01,TOI-216,TOI-216,2.0,12.324,,,,13.8,,,,,,0.0046,0.0027,0.0012,0.0,0.77,0.03,0.03,,,,0.748,0.015,0.015,,,,0.56,0.02,0.02,0.56,0.02,0.02,0.901021,0.01784284,0.01784284,34.525528,,,,,,,,,0.76545958823992,,,,,,0.0006943941078637873,3.670102956137436e-05,3.670102956137436e-05
364,HAT-P-19 b,HAT-P-19,HAT-P-19,1.0,12.826,0.15751610577437003,0.1337194659908406,0.07411203848396167,7.2,4.0,4.0,0.022863412077137303,0.0363506773027324,0.0135524065370277,0.024,,,1.0,0.807,0.034,0.03,4962.0,39.0,41.0,0.773,0.011,0.01,0.166,0.07,0.068,0.284,0.016,0.016,0.284,0.016,0.016,1.0079527939855,0.014,0.013,4.00878322,1.9e-07,1.9e-07,0.04599,0.00063,0.00058,12.84,0.06,0.06,0.2772916191755949,0.019,0.019,,,,0.00033601102741116345,2.363814085182218e-05,2.2679956113168185e-05
365,WASP-160 B b,WASP-160 B,WASP-160,1.0,13.04,0.08221866702739195,0.08131442499890504,0.04222486731578939,9.75,2.28,2.28,0.008762036041027762,0.009345067601185,0.0047459397947924,0.0,,,0.0,0.87,0.071,0.068,5298.0,99.0,99.0,0.868,0.031,0.028,0.27,0.1,0.1,0.278,0.044,0.045,0.278,0.044,0.045,1.0899508301,0.047,0.041,3.7684952,3.5e-06,3.5e-06,0.0452,0.0012,0.0012,11.25,0.19,0.31,0.2146670074569758,0.052,0.051,,,,0.000305094422679233,5.43295337307214e-05,5.484167872342152e-05
366,WASP-69 b,WASP-69,WASP-69,1.0,9.873,0.10681411440502743,0.1109199706837835,0.05728253092034774,7.0,7.0,7.0,0.013880025961358865,0.032330680966991,0.0088773156121784,0.11,,,1.0,0.83,0.03,0.03,4700.0,50.0,50.0,0.86,0.03,0.03,0.15,,,0.25,0.023,0.023,0.25,0.023,0.023,1.1099499279,0.04,0.04,3.86814,2e-06,2e-06,0.048013517232,0.002425973750249,0.002425973750249,11.97,0.44,0.44,0.1827978453252375,,,0.4,2.0,1.9,0.00028758792117852637,2.8426768475055728e-05,2.8426768475055728e-05
367,Gaia-1 b,Gaia-1,Gaia-1,1.0,13.242,0.12022211088591306,0.1073534147226834,0.06027918254122173,13.8,,,,,,0.0,,,0.0,0.949,0.066,0.066,5470.0,110.0,110.0,0.952,0.025,0.025,,,,1.68,0.11,0.11,1.68,0.11,0.11,1.2289424437488,0.021,0.021,3.052524,1.7e-05,1.7e-05,0.04047,0.00094,0.00094,,,,0.905010531497122,,,,,,0.0016902533078665422,0.0001614515027589993,0.0001614515027589993
368,NGTS-11 b,NGTS-11,NGTS-11,1.0,12.456,7064.17540521723,6870.584004278792,3727.3063340452954,3.9,1.6,1.6,1854.3261467651473,2654.260691224508,1036.0361913595243,0.13,0.1,0.09,0.0,0.862,0.028,0.028,5050.0,80.0,80.0,0.832,0.013,0.013,0.22,0.08,0.08,0.344,0.092,0.073,0.344,0.092,0.073,0.8169631451299999,0.028,0.032,35.45533,0.00019,0.00019,0.201,0.0021,0.0022,54.6,8.6,7.5,0.6308008545143776,0.21,0.17,,,,0.0003810306415540271,0.0001026524184303506,8.180001736835385e-05
369,HAT-P-34 b,HAT-P-34,HAT-P-34,1.0,10.403,4.198549475982929,5.346261227201158,2.413835831793265,1.7,0.4,0.5,2.616476627310062,3.9305693775567576,1.5746946035609326,0.432,0.029,0.027,0.0,1.39,0.05,0.05,6442.0,88.0,88.0,1.53,0.14,0.1,0.22,0.04,0.04,3.33,0.21,0.2,3.33,0.21,0.2,1.19694600333,0.13,0.092,5.452654,1.6e-05,1.6e-05,0.06774,0.00074,0.00076,9.48,0.84,0.64,1.9416090261982195,0.75,0.6,0.0,14.0,14.0,0.0022873791520728894,0.00016606559805689447,0.0001601351604640135
370,HATS-27 b,HATS-27,HATS-27,1.0,12.782,0.10985983578231541,0.17620133485764355,0.06765165144640531,2.3,0.22,0.22,0.047810838092812974,0.0736095496084457,0.0286851152857648,0.581,,,1.0,1.415,0.048,0.048,6438.0,64.0,64.0,1.74,0.17,0.1,0.09,0.04,0.04,0.53,0.13,0.13,0.53,0.13,0.13,1.499932335,0.2,0.11,4.637038,1.4e-05,1.4e-05,0.0611,0.00068,0.00068,7.55,0.42,0.59,0.157037037037037,0.083,0.057,,,,0.00035762523399698583,8.855430455325865e-05,8.855430455325865e-05
371,HATS-66 b,HATS-66,HATS-66,1.0,14.283,0.27816534320470754,0.29073179926565784,0.14247737613896364,2.17,0.16,0.11,0.12963002361985534,0.1258107415056118,0.0659082631922785,0.064,,,1.0,1.411,0.022,0.022,6626.0,35.0,35.0,1.841,0.041,0.041,-0.017,0.043,0.043,5.33,0.68,0.68,5.33,0.68,0.68,1.41093634979,0.084,0.084,3.1414391,7.4e-06,7.4e-06,0.04714,0.00025,0.00025,5.5,0.11,0.11,1.8973443910360348,0.56,0.43,,,,0.0036066908703095185,0.0004635642180247213,0.0004635642180247213
372,HATS-68 b,HATS-68,HATS-68,1.0,12.312,0.23015203511679969,0.18793840795375907,0.11072581889899376,3.02,0.11,0.11,0.07640597754490985,0.063955953739896,0.0369788423622663,0.036,,,1.0,1.351,0.014,0.014,6147.0,22.0,22.0,1.748,0.026,0.026,0.21,0.043,0.043,1.29,0.059,0.059,1.29,0.059,0.059,1.23194442448,0.039,0.029,3.5862202,4.7e-06,4.7e-06,0.05071,0.00018,0.00018,6.232,0.086,0.086,0.6898546353713753,0.083,0.083,,,,0.0009116813832889658,4.275393819805089e-05,4.275393819805089e-05
373,HAT-P-32 b,HAT-P-32,HAT-P-32,1.0,11.439,0.001130717235353775,0.0009857848456569021,0.0005780486718476879,2.7,0.8,0.8,0.0004320788360359526,0.0004433466929377,0.0002362323113278,0.044,,,1.0,1.18,0.05,0.05,6269.0,64.0,64.0,1.367,0.031,0.03,-0.16,0.08,0.08,0.75,0.13,0.13,0.75,0.13,0.13,1.9799106822,0.045,0.045,2.1500082,1.3e-07,1.3e-07,0.03397,0.00051,0.0005,6.05,0.12,0.12,0.0966197017620341,0.018,0.017,85.0,1.5,1.5,0.0006068592574021446,0.00010828638771682323,0.00010828638771682323
374,HAT-P-31 b,HAT-P-31,HAT-P-31,1.0,11.667,3.216704115971967,16.595196793099703,2.6641094207412594,3.17,0.7,1.1,1.0588763376585217,5.351300150106084,0.8941950462872484,0.2617,0.0093,0.0095,0.0,1.31,0.73,0.73,6065.0,100.0,100.0,1.39,0.11,0.11,0.15,,,2.147,0.09,0.078,2.147,0.09,0.078,1.0899508301,0.15,0.15,5.00542,9.1e-05,9.1e-05,0.0627292880657999,0.0115878927135261,0.0115878927135261,9.7,1.62,1.62,1.6578779316911043,,,,,,0.001564838324944567,0.0008744728879108003,0.0008738603384305511
375,HATS-53 b,HATS-53,HATS-53,1.0,13.944,0.07470872554714932,0.07164629946784155,0.03711121023274255,9.0,1.9,1.9,0.008437293542725802,0.0086003779980717,0.0043779515154709,0.33,,,1.0,0.964,0.04,0.04,5644.0,94.0,94.0,1.101,0.031,0.024,,,,0.595,0.089,0.089,0.595,0.089,0.089,1.3399395526,0.056,0.056,3.8537768,3.8e-06,3.8e-06,0.04753,0.00066,0.00066,9.3,0.15,0.22,0.2472877315361264,0.055,0.055,,,,0.0005893165762407271,9.147867566913541e-05,9.147867566913541e-05
376,WASP-145 A b,WASP-145 A,WASP-145,1.0,11.636,0.02377131377548014,0.3780524527541584,0.020367232040436608,6.99,4.4,4.4,0.003828378204139382,0.0798254587733301,0.0036309807870339,0.06,,,1.0,0.76,0.04,0.04,4900.0,150.0,150.0,0.68,0.07,0.07,-0.04,0.1,0.1,0.89,0.04,0.04,0.89,0.04,0.04,0.899959401,0.4,0.4,1.7690381,8e-07,8e-07,0.0261,0.0005,0.0005,8.74,0.52,0.52,1.2208504801097393,1.3,1.3,,,,0.0011181115651293547,7.738454971806803e-05,7.738454971806803e-05
377,Kepler-63 b,Kepler-63,Kepler-63,1.0,12.02,53.98234840396688,77.35443401269083,38.51046725386708,0.21,0.05,0.05,252.5663307651263,404.7972666929559,190.8453324929805,0.45,,,1.0,0.98,0.04,0.04,5576.0,50.0,50.0,0.901,0.027,0.022,0.05,0.08,0.08,0.378,,,0.378,,,0.5450731,0.018,0.018,9.4341505,1e-06,1e-06,0.08,0.002,0.002,19.09,0.75,0.67,2.335082843704658,,,110.0,14.0,22.0,0.00036827687506347286,,
