,pl_name,hostname,hostname_omit_binary_signature,sy_pnum,sy_vmag,circularization_timescale,circularization_timescaleerr1,circularization_timescaleerr2,st_age,st_ageerr1,st_ageerr2,tau_age_diff,tau_age_differr1,tau_age_differr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_met,st_meterr1,st_meterr2,pl_mass_combinej,pl_mass_combinejerr1,pl_mass_combinejerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_dens,pl_denserr1,pl_denserr2,lambda,lambdaerr1,lambdaerr2,mass_ratio,mass_ratioerr1,mass_ratioerr2
247,WASP-185 b,WASP-185,WASP-185,1.0,11.101,9.248463637278924,8.574321112036902,4.866745363078126,6.6,1.6,1.6,1.4260238365105007,1.5472788477234602,0.7829950965341581,0.24,0.04,0.04,0.0,1.12,0.06,0.06,5900.0,100.0,100.0,1.5,0.08,0.08,-0.02,0.06,0.06,0.98,0.06,0.06,0.98,0.06,0.06,1.2499436125,0.08,0.08,9.38755,2e-05,2e-05,0.0904,0.0017,0.0017,12.9,0.7,0.7,0.50176,0.16,0.16,,,,0.000835442911023619,6.796591807956558e-05,6.796591807956558e-05
248,Kepler-14 b,Kepler-14,Kepler-14,1.0,12.003,30.727740640608943,48.0315422855527,19.002088091542713,2.2,0.2,0.1,13.854989740935828,20.985190258279104,8.604393726095557,0.035,0.02,0.02,0.0,1.512,0.043,0.043,6395.0,60.0,60.0,2.048,0.112,0.084,0.12,0.06,0.06,8.4,0.35,0.34,8.4,0.35,0.34,1.13591093,0.073,0.054,6.790123,4.3e-06,4.3e-06,0.0782556312858624,0.0069715466994353,0.0033282953494013,8.213,0.578,0.093,5.729863709134396,1.1,1.1,,,,0.005304399435070597,0.0002675908674589986,0.00026239934050503424
249,POTS-1 b,POTS-1,POTS-1,1.0,17.9083,0.5603839394671062,0.6519464257050271,0.3256477779325494,13.8,,,,,,,,,,0.695,0.05,0.05,4400.0,200.0,200.0,0.588,0.02,0.028,-0.03,0.15,0.15,2.31,0.77,0.77,2.31,0.77,0.77,0.94098708,0.036,0.047,3.1606296,1.57e-06,1.57e-06,0.03734,0.0009,0.0009,,,,2.772318414076985,,,,,,0.003173480985758784,0.001082184128377421,0.001082184128377421
250,HATS-61 b,HATS-61,HATS-61,1.0,13.352,18.257513547909582,17.438783363941454,9.45118079287654,8.9,0.31,0.41,2.0531262823668333,1.8500232010204645,1.014660662148133,0.092,,,1.0,1.076,0.014,0.014,5542.0,21.0,21.0,1.664,0.024,0.024,0.247,0.037,0.037,3.4,0.14,0.14,3.4,0.14,0.14,1.19494609355,0.067,0.067,7.817953,2.4e-05,2.4e-05,0.07908,0.00033,0.00033,10.23,0.14,0.14,1.992393889826038,0.44,0.44,,,,0.0030170004221777,0.0001302838393522328,0.0001302838393522328
251,KELT-17 b,KELT-17,KELT-17,1.0,9.234,0.04555810984994179,0.04728697301914218,0.023034799734556556,0.65,0.15,0.15,0.07185564429454837,0.0775521176511866,0.0377531826789566,0.0,,,0.0,1.64,0.07,0.06,7454.0,49.0,49.0,1.645,0.06,0.055,-0.018,0.074,0.072,1.31,0.28,0.29,1.31,0.28,0.29,1.52493120725,0.065,0.06,3.0801716,5.3e-06,5.2e-06,0.04881,0.00065,0.00061,6.38,0.25,0.23,0.3693701234905125,0.12,0.11,115.9,4.1,4.1,0.0007626691382863701,0.00016623180983083263,0.00017112527561391155
252,NGTS-17 b,NGTS-17,NGTS-17,1.0,14.412,0.03323813085024739,0.0638626326832311,0.022447187702987974,9.22,1.41,1.4,0.003664384952466809,0.0078392328308122,0.0023844644024483,0.168,0.093,0.101,0.0,1.025,0.034,0.033,5650.0,100.0,100.0,1.337,0.125,0.125,0.15,0.1,0.1,0.764,0.195,0.164,0.764,0.195,0.164,1.2399419288047,0.11,0.11,3.24253,1e-05,1e-05,0.0391,0.0043,0.0043,6.28,0.4,0.4,0.4007082675975966,0.27,0.17,,,,0.000711669278352106,0.00018317088445159171,0.00015447536472502574
253,TOI-4641 b,TOI-4641,TOI-4641,1.0,7.51,10489.802180172646,21446.25742151637,7776.125265897988,2.69,0.81,1.14,4125.272793731432,9884.22554743006,3068.466522720641,0.074,,,1.0,1.41,0.068,0.059,6560.0,300.0,340.0,1.72,0.041,0.043,-0.09,0.11,0.18,3.87,,,3.87,,,0.7299658127311,0.026,0.028,22.09341,5.1e-05,4.7e-05,0.173,0.015,0.015,21.53,0.51,0.52,9.948151366135672,,,,,,0.0026205990400497716,,
254,NGTS-10 b,NGTS-10,NGTS-10,1.0,14.506,0.00030083145607298926,0.0004586671561257324,0.00018238208860271049,10.4,2.5,2.5,2.9720329818472324e-05,4.898329874578236e-05,1.9237011967990224e-05,0.0,,,0.0,0.696,0.04,0.04,4600.0,150.0,150.0,0.697,0.036,0.036,-0.02,0.12,0.12,2.162,0.092,0.107,2.162,0.092,0.107,1.20494564245,0.117,0.083,0.7668944,3e-07,3e-07,0.0143,0.001,0.001,4.447,0.123,0.141,1.2356473692734589,0.354,0.404,,,,0.002965890925505853,0.0002120916944369931,0.00022494530394641317
255,KELT-9 b,KELT-9,KELT-9,1.0,7.55,0.0021828849550219833,0.0022396931594445596,0.0012024644238119897,0.3,,,,,,0.0,,,0.0,2.32,0.16,0.16,9600.0,400.0,400.0,2.362,0.075,0.063,-0.03,0.2,0.2,2.88,0.84,0.84,2.88,0.84,0.84,1.89091469699,0.061,0.053,1.4811235,1.1e-06,1.1e-06,0.03462,0.0011,0.00093,3.0,0.1,0.1,0.425910062931375,0.15,0.15,85.0,0.2,0.2,0.0011852589082502578,0.0003552331622132739,0.0003552331622132739
256,TOI-2384 b,TOI-2384,TOI-2384,1.0,15.103,0.05685748205534623,0.04577776307216565,0.02732629829951359,9.4,5.8,5.8,0.006096089724088821,0.0095476311523918,0.0034118124274025,0.012,0.014,0.014,0.0,0.635,0.016,0.016,3943.0,14.0,14.0,0.6113,0.008,0.008,0.332,0.063,0.063,1.966,0.059,0.059,1.966,0.059,0.059,1.0249519976762,0.021,0.021,2.13570304,3.8e-07,3.8e-07,0.02793,0.00023,0.00023,9.82,0.12,0.12,1.8256264418682264,0.15,0.15,,,,0.0029560958615476897,0.0001158356545526791,0.0001158356545526791
